name,rating,reviews,category,price
Phool Vedic Havan Samagri,4.7,27,Pujan Samagri,1145.0
Phool Floral Gift box - Natural Incense Collection (4 Fragrances),4.88,96,Gift Box,620.0
Phool Classic Gift box - Natural Incense Collection (4 Fragrances),4.88,65,Gift Box,620.0
Phool Citral Gift box - Natural Incense Collection (4 Fragrances),4.86,83,Gift Box,620.0
Phool Shwet Deep Box,5.0,17,Gift Box,3345.0
Honeycomb Gold Votives( Set of 2),5.0,1,Votive,965.0
Patina Lantern Candle Votive,0.0,0,Votive,1015.0
Lavender Silver Votives (Set of 2),5.0,1,Votive,915.0
Black Pearl Votive,4.0,2,Votive,1055.0
Rust Gold Votives (Set of 2),4.5,2,Votive,855.0
Rust Silver Votives (Set of 2),5.0,2,Votive,855.0
Phool Hamsa Incense Holder,5.0,15,Decor,715.0
Phool Mandala jaali T-Light  holder,5.0,3,Decor,775.0
Phool Abha Incense Holder,5.0,7,Decor,945.0
Phool Makrana Incense Holder,5.0,1,Decor,775.0
Phool Ceramic Diffuser Tile,0.0,0,Decor,785.0
Phool Jaali Aroma Oil Burner,5.0,10,Decor,2145.0
Phool Lavender Essential Oil (10ml),4.78,9,Essential Oils,945.0
Phool Lemon Essential Oil (10ml),5.0,4,Essential Oils,485.0
Phool Lemongrass Essential Oil (10ml),4.67,6,Essential Oils,445.0
Phool Eucalyptus Essential Oil (10ml),5.0,3,Essential Oils,445.0
Phool White Cedar Essential Oil (10ml),5.0,3,Essential Oils,515.0
Phool Frankincense Essential Oil (10ml),5.0,4,Essential Oils,745.0
Phool Bergamot Essential Oil (10ml),4.67,3,Essential Oils,485.0
Phool Cinnamon Essential Oil (10ml),5.0,3,Essential Oils,485.0
Phool Rosemary Essential Oil (10ml),5.0,3,Essential Oils,745.0
Phool Peppermint Essential Oil (10ml),5.0,3,Essential Oils,445.0
Phool Patchouli Essential Oil (10ml),4.75,4,Essential Oils,945.0
Phool Citronella Essential Oil (10ml),5.0,1,Essential Oils,445.0
Phool Tea Tree Essential Oil (10ml),3.5,2,Essential Oils,745.0
Phool Goodvibes Pack - Natural Incense Sticks Indian Rose & White Cedar,4.65,98,Wellness Packs,330.0
Phool Mosquito Repellent Pack - Natural Incense Sticks Citronella & Eucalyptus,4.84,89,Wellness Packs,330.0
Phool Meditation Pack - Natural Incense Sticks Nagchampa & Patchouli,4.73,73,Wellness Packs,330.0
Phool Aromatherapy Pack - Natural Incense Sticks Tea Tree & Lemongrass,4.77,26,Wellness Packs,330.0
Phool Mosquito Repellent Pack - Natural Incense Cones Citronella & Eucalyptus,4.66,86,Wellness Packs,290.0
Phool Aromatherapy Pack - Natural Incense Cones Tea Tree & Lemongrass,4.87,45,Wellness Packs,290.0
Phool Goodvibes Pack - Natural Incense Cones Indian Rose & White Cedar,4.78,80,Wellness Packs,290.0
Phool Meditation Pack - Natural Incense Cones Nagchampa & Patchouli,4.94,54,Wellness Packs,290.0
Phool Devotion Pack - Natural Incense Cones Tulsi & Jasmine,4.79,29,Wellness Packs,290.0
Phool Devotion Pack - Natural Incense Sticks Tulsi & Jasmine,4.81,16,Wellness Packs,330.0
Phool Natural Incense Sticks Refill pack - Oudh,4.59,34,Refill Packs,385.0
Phool Natural Incense Sticks - Oudh,4.79,754,Incense Sticks,245.0
Phool Natural Incense Sticks Refill pack - Nagchampa,4.76,91,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - White Cedar,4.64,39,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Tea Tree,4.57,14,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Lemongrass,4.74,54,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Indian Rose,4.79,111,Refill Packs,245.0
Phool Natural Incense Sticks - Lavender,4.67,366,Incense Sticks,165.0
Phool Natural Incense Sticks - Indian Rose,4.7,309,Incense Sticks,165.0
Phool Natural Incense Sticks - Jasmine,4.73,293,Incense Sticks,165.0
Phool Natural Incense Sticks - Nagchampa,4.72,283,Incense Sticks,165.0
Phool Natural Incense Sticks Refill pack - Tuberose,4.71,65,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Lavender,4.61,62,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Citronella,4.79,34,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Vetiver,4.75,48,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Nargis,4.83,58,Refill Packs,245.0
Phool Natural Incense Sticks - Lemongrass,4.65,213,Incense Sticks,165.0
Phool Natural Incense Sticks - Tuberose,4.68,219,Incense Sticks,165.0
Phool Natural Incense Sticks - Nargis,4.69,180,Incense Sticks,165.0
Phool Natural Incense Sticks - Tulsi,4.71,191,Incense Sticks,165.0
Phool Natural Incense Sticks - Citronella,4.63,128,Incense Sticks,165.0
Phool Natural Incense Sticks Refill pack - Jasmine,4.64,66,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Tulsi,4.8,60,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Eucalyptus,4.75,51,Refill Packs,245.0
Phool Natural Incense Sticks Refill pack - Patchouli,4.7,46,Refill Packs,245.0
Phool Natural Incense Sticks - Eucalyptus,4.77,176,Incense Sticks,165.0
Phool Natural Incense Sticks - Patchouli,4.57,99,Incense Sticks,165.0
Phool Natural Incense Sticks - White Cedar,4.66,152,Incense Sticks,165.0
Phool Natural Incense Sticks - Vetiver,4.69,104,Incense Sticks,165.0
Phool Natural Incense Sticks - Oudh,4.79,754,All,245.0
Phool Natural Incense Sticks Refill pack - Orange,4.94,32,Refill Packs,245.0
Phool Natural Incense Sticks - Orange,4.77,74,Incense Sticks,165.0
Phool Natural Incense Sticks - Tea Tree,4.52,54,Incense Sticks,165.0
Phool Natural Incense Sticks - Oudh Bundle Packs,4.53,15,Incense Sticks,490.0
Phool Natural Incense Sticks - Indian Rose Bundle Packs,4.25,4,Incense Sticks,330.0
Phool Natural Incense Sticks - Lavender Bundle Packs,5.0,3,Incense Sticks,330.0
Phool Goodvibes Pack - Natural Incense Cones Indian Rose & White Cedar,4.78,80,All,290.0
Phool Lavender Essential Oil (10ml),4.78,9,All,945.0
Phool Natural Incense Cones - Indian Rose,4.76,524,All,145.0
